题号,分类,问题,确认结果/备注,,,,
1,全局问题,各业务节点的状态流转规则需要明确：报名、审核、缴费、文件上传、开标、评标、公示、合同归档等。,采购信息公告的、文件上传、开标、评标、采购结果、缴费,,,,
2,门户、注册登录、CA,请提供 CA 服务商名称、商务/技术联系人和最新接口文档。,CA服务商计划选择E签宝，一期先使用账号密码登录或手机号登录,,,,
3,门户、注册登录、CA,CA 登录是扫码、UKey、浏览器控件，还是本地驱动？,CA登录与CA服务商对接。,,,,
4,门户、注册登录、CA,CA 登录、签章、加密、解密分别使用哪类证书或介质？四个场景对应的厂商接口和验收流程是什么？,CA登录通过CA服务商系统认证，接口文档需要与服务商流程走完后发出。一期先使用账号密码登录或手机号登录,,,,
5,门户、注册登录、CA,CA 证书申请是在平台内提交，还是跳转第三方平台？,根据服务商提供方式而定，优先采用服务商提供的功能。,,,,
6,门户、注册登录、CA,请明确 CA 驱动安装包由谁提供、支持哪些操作系统和浏览器版本，以及最晚提供时间。,最晚提供时间，9月前提供。,9月前吗，会不会太晚？,,,
7,门户、注册登录、CA,登录时是用户选择角色，还是账号自动绑定角色？,自动绑定角色,,,,
8,门户、注册登录、CA,监督人账号由招标人还是代理机构创建？创建后是否需要平台审核、短信激活或本人确认？,招标人,,,,
9,门户、注册登录、CA,首个超级管理员账号由谁提供初始化信息？初始密码如何安全交付并强制修改？,使用单位的管理人员提供初始化信息。手机号码注册，注册手机号收验证码。,,,,
10,门户、注册登录、CA,公告详情页的报名入口在什么项目状态和时间范围内显示？未登录或无资格用户点击后如何处理？,没有报名环节,原需求文档有提到报名,,,
11,门户、注册登录、CA,点击报名后，是在门户完成报名，还是跳转后台投标管理？,没有报名环节,原需求文档有提到报名,,,
12,门户、注册登录、CA,供应商准入审核包含哪些状态？各状态下可查看、报名或投标哪些项目？审核驳回后如何重新提交？,没有供应商准入审核环节，供应商初次注册时，由后台确认后可直接进行投标。,需求文档有提到需要准入审核,,,
